mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,Br,C,Cl,H,N,O,S,rdb,DBE,H/C,O/C,Ç¿¶È,N/C,KM,KMD
522.49,2765026,232.964284,232.964058,-0.226,-0.971,C3 H6 Cl N2 O6 S ,0,3,1,6,2,6,1,1.5,1,2,2,,0.666666667,,
59.53,3515124,232.976168,232.976147,-0.021,-0.091,C7 H5 O7 S     ,0,7,0,5,0,7,1,5.5,5,0.714285714,1,,0,,
176.7,3515124,232.976168,232.975943,-0.225,-0.965,C10 H2 Cl N2 O3 ,0,10,1,2,2,3,0,10.5,10,0.2,0.3,,0.2,,
153.96,4242179,232.985871,232.985839,-0.031,-0.135,C8 H6 Cl O6    ,0,8,1,6,0,6,0,5.5,5,0.75,0.75,,0,,
545.87,4973091,233.00716,233.006969,-0.192,-0.824,C5 H10 Cl O8   ,0,5,1,10,0,8,0,0.5,0,2,1.6,,0,,
27.09,34937896,233.009211,233.009161,-0.05,-0.213,C11 H5 O6      ,0,11,0,5,0,6,0,9.5,9,0.454545455,0.545454545,,0,,
481.91,3774518,233.019722,233.019722,0,0.001,C13 H10 Cl S   ,0,13,1,10,0,0,1,8.5,8,0.769230769,0,,0,,
556.88,4193850,233.022259,233.022225,-0.035,-0.149,C9 H10 Cl O5   ,0,9,1,10,0,5,0,4.5,4,1.111111111,0.555555556,,0,,
158.05,7368774,233.030285,233.030291,0.006,0.024,C8 H9 O8       ,0,8,0,9,0,8,0,4.5,4,1.125,1,,0,,
10.72,37672028,233.045577,233.045547,-0.03,-0.129,C12 H9 O5      ,0,12,0,9,0,5,0,8.5,8,0.75,0.416666667,,0,,
341.74,3415139,233.048931,233.048918,-0.013,-0.056,C9 H13 O5 S    ,0,9,0,13,0,5,1,3.5,3,1.444444444,0.555555556,,0,,
364.29,3415139,233.048931,233.048714,-0.217,-0.929,C12 H10 Cl N2 O ,0,12,1,10,2,1,0,8.5,8,0.833333333,0.083333333,,0.166666667,,
57.22,5712510,233.066699,233.066676,-0.022,-0.096,C9 H13 O7      ,0,9,0,13,0,7,0,3.5,3,1.444444444,0.777777778,,0,,
15.15,19793044,233.081943,233.081932,-0.01,-0.043,C13 H13 O4     ,0,13,0,13,0,4,0,7.5,7,1,0.307692308,,0,,
87.96,7390925,233.118394,233.118318,-0.076,-0.328,C14 H17 O3     ,0,14,0,17,0,3,0,6.5,6,1.214285714,0.214285714,,0,,
65.41,4358399,234.004508,234.00441,-0.098,-0.418,C10 H4 N O6    ,0,10,0,4,1,6,0,9.5,9,0.4,0.6,,0.1,,
71.51,6506037,234.040795,234.040796,0.001,0.004,C11 H8 N O5    ,0,11,0,8,1,5,0,8.5,8,0.727272727,0.454545455,,0.090909091,,
77.65,2838379,234.077267,234.077181,-0.086,-0.366,C12 H12 N O4   ,0,12,0,12,1,4,0,7.5,7,1,0.333333333,,0.083333333,,
191.46,3471143,234.906738,234.906937,0.198,0.845,C Cl N2 O8 S   ,0,1,1,0,2,8,1,2.5,2,0,8,,2,,
191.46,7401767,234.907099,234.906937,-0.162,-0.692,C Cl N2 O8 S   ,0,1,1,0,2,8,1,2.5,2,0,8,,2,,
450.19,7401767,234.907099,234.907001,-0.099,-0.42,C6 H4 Br O3 S  ,1,6,0,4,0,3,1,4.5,4,0.666666667,0.5,,0,,
332.73,8014656,234.924432,234.924602,0.171,0.726,C4 H3 N4 S4    ,0,4,0,3,4,0,4,5.5,5,0.75,0,,1,,
51.89,16735041,234.924763,234.924696,-0.067,-0.286,C Cl N2 O10    ,0,1,1,0,2,10,0,2.5,2,0,10,,2,,
