mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,Br,C,Cl,H,N,O,S,rdb,DBE,H/C,O/C,Ç¿¶È,N/C,KM,KMD
535.84,9538399,327.090814,327.090579,-0.235,-0.719,C18 H16 Cl N2 O2 ,0,18,1,16,2,2,0,11.5,11,0.888888889,0.111111111,,0.111111111,,
762.87,9538399,327.090814,327.090783,-0.032,-0.096,C15 H19 O6 S   ,0,15,0,19,0,6,1,6.5,6,1.266666667,0.4,,0,,
522.58,5668717,327.099691,327.099514,-0.178,-0.543,C18 H19 N2 S2  ,0,18,0,19,2,0,2,10.5,10,1.055555556,0,,0.111111111,,
620.5,5668717,327.099691,327.09962,-0.072,-0.219,C11 H21 Cl2 N4 O3 ,0,11,2,21,4,3,0,2.5,2,1.909090909,0.272727273,,0.363636364,,
267.77,21859188,327.104485,327.104714,0.229,0.702,C14 H28 Cl S3  ,0,14,1,28,0,0,3,0.5,0,2,0,,0,,
323.48,21859188,327.104485,327.104518,0.034,0.103,C10 H19 N2 O10 ,0,10,0,19,2,10,0,2.5,2,1.9,1,,0.2,,
69.13,59005816,327.107834,327.107686,-0.148,-0.453,C10 H20 Cl N4 O6 ,0,10,1,20,4,6,0,2.5,2,2,0.6,,0.4,,
348.94,59005816,327.107834,327.10775,-0.084,-0.257,C15 H24 Br N2 O ,1,15,0,24,2,1,0,4.5,4,1.6,0.066666667,,0.133333333,,
16.37,409828224,327.108573,327.108541,-0.032,-0.097,C15 H19 O8     ,0,15,0,19,0,8,0,6.5,6,1.266666667,0.533333333,,0,,
176.47,409828224,327.108573,327.108554,-0.019,-0.057,C11 H24 Cl N4 O S2 ,0,11,1,24,4,1,2,1.5,1,2.181818182,0.090909091,,0.363636364,,
487.65,4975488,327.112477,327.11278,0.303,0.928,C13 H27 O3 S3  ,0,13,0,27,0,3,3,0.5,0,2.076923077,0.230769231,,0,,
119.93,11176848,327.123761,327.123797,0.036,0.11,C19 H19 O5     ,0,19,0,19,0,5,0,10.5,10,1,0.263157895,,0,,
202.22,11176848,327.123761,327.124014,0.253,0.772,C12 H27 N2 O2 S3 ,0,12,0,27,2,2,3,0.5,0,2.25,0.166666667,,0.166666667,,
525.3,6407061,327.127076,327.126965,-0.111,-0.339,C19 H20 Cl N2 O ,0,19,1,20,2,1,0,10.5,10,1.052631579,0.052631579,,0.105263158,,
737.38,6407061,327.127076,327.127168,0.093,0.283,C16 H23 O5 S   ,0,16,0,23,0,5,1,5.5,5,1.4375,0.3125,,0,,
19.2,55163824,327.145018,327.144927,-0.091,-0.279,C16 H23 O7     ,0,16,0,23,0,7,0,5.5,5,1.4375,0.4375,,0,,
96.43,55163824,327.145018,327.14494,-0.078,-0.239,C12 H28 Cl N4 S2 ,0,12,1,28,4,0,2,0.5,0,2.333333333,0,,0.333333333,,
126.12,4699078,327.160095,327.160183,0.088,0.27,C20 H23 O4     ,0,20,0,23,0,4,0,9.5,9,1.15,0.2,,0,,
60.92,33733580,327.163523,327.163554,0.031,0.093,C17 H27 O4 S   ,0,17,0,27,0,4,1,4.5,4,1.588235294,0.235294118,,0,,
77.54,33733580,327.163523,327.16335,-0.173,-0.529,C20 H24 Cl N2  ,0,20,1,24,2,0,0,9.5,9,1.2,0,,0.1,,
211.32,8858607,327.188634,327.188523,-0.111,-0.338,C11 H27 N4 O7  ,0,11,0,27,4,7,0,0.5,0,2.454545455,0.636363636,,0.363636364,,
294.54,8858607,327.188634,327.188502,-0.131,-0.401,C22 H28 Cl     ,0,22,1,28,0,0,0,8.5,8,1.272727273,0,,0,,
685.83,4507818,328.009935,328.010192,0.257,0.783,C12 H17 Cl3 N O S ,0,12,3,17,1,1,1,3.5,3,1.416666667,0.083333333,,0.083333333,,
699.04,4507818,328.009935,328.00989,-0.045,-0.137,C15 H6 N O8    ,0,15,0,6,1,8,0,13.5,13,0.4,0.533333333,,0.066666667,,
705.31,4507818,328.009935,328.010106,0.171,0.523,C8 H14 N3 O5 S3 ,0,8,0,14,3,5,3,3.5,3,1.75,0.625,,0.375,,
547.88,3770049,328.025342,328.025532,0.19,0.58,C10 H20 Br Cl N3 S ,1,10,1,20,3,0,1,1.5,1,2,0,,0.3,,
602.97,3770049,328.025342,328.025362,0.02,0.062,C12 H14 N3 O2 S3 ,0,12,0,14,3,2,3,7.5,7,1.166666667,0.166666667,,0.25,,
701.15,3770049,328.025342,328.025146,-0.196,-0.598,C19 H6 N O5    ,0,19,0,6,1,5,0,17.5,17,0.315789474,0.263157895,,0.052631579,,
528.94,7812320,328.046337,328.046275,-0.062,-0.189,C16 H10 N O7   ,0,16,0,10,1,7,0,12.5,12,0.625,0.4375,,0.0625,,
601.06,7812320,328.046337,328.046492,0.155,0.471,C9 H18 N3 O4 S3 ,0,9,0,18,3,4,3,2.5,2,2,0.444444444,,0.333333333,,
620.13,7812320,328.046337,328.046577,0.24,0.731,C13 H21 Cl3 N S ,0,13,3,21,1,0,1,2.5,2,1.615384615,0,,0.076923077,,
144.79,3905255,328.051326,328.051635,0.309,0.942,C22 H6 N3 O    ,0,22,0,6,3,1,0,21.5,21,0.272727273,0.045454545,,0.136363636,,
394.76,3905255,328.051326,328.051357,0.031,0.093,C9 H19 Br N3 O5 ,1,9,0,19,3,5,0,1.5,1,2.111111111,0.555555556,,0.333333333,,
669.46,3905255,328.051326,328.051272,-0.054,-0.165,C15 H16 Cl2 N O3 ,0,15,2,16,1,3,0,7.5,7,1.066666667,0.2,,0.066666667,,
633.11,3398391,328.061904,328.061748,-0.156,-0.476,C13 H18 N3 O S3 ,0,13,0,18,3,1,3,6.5,6,1.384615385,0.076923077,,0.230769231,,
353.06,30298366,328.067398,328.067405,0.007,0.02,C13 H14 N O9   ,0,13,0,14,1,9,0,7.5,7,1.076923077,0.692307692,,0.076923077,,
601.58,5488917,328.082611,328.082877,0.267,0.813,C10 H22 N3 O3 S3 ,0,10,0,22,3,3,3,1.5,1,2.2,0.3,,0.3,,
763.54,5488917,328.082611,328.082661,0.05,0.153,C17 H14 N O6   ,0,17,0,14,1,6,0,11.5,11,0.823529412,0.352941176,,0.058823529,,
532.72,10735924,328.103843,328.10379,-0.052,-0.16,C14 H18 N O8   ,0,14,0,18,1,8,0,6.5,6,1.285714286,0.571428571,,0.071428571,,
615.89,3323211,328.118981,328.119263,0.282,0.858,C11 H26 N3 O2 S3 ,0,11,0,26,3,2,3,0.5,0,2.363636364,0.181818182,,0.272727273,,
846.34,3323211,328.118981,328.119046,0.065,0.199,C18 H18 N O5   ,0,18,0,18,1,5,0,10.5,10,1,0.277777778,,0.055555556,,
169.81,4487528,328.831082,328.830907,-0.175,-0.534,C8 Cl3 O4 S2   ,0,8,3,0,0,4,2,7.5,7,0,0.5,,0,,
175.35,4487528,328.831082,328.830991,-0.091,-0.277,C2 H3 Br Cl N2 O6 S2 ,1,2,1,3,2,6,2,1.5,1,1.5,3,,1,,
220.86,4487528,328.831082,328.830788,-0.294,-0.896,C5 Br Cl2 N4 O2 S ,1,5,2,0,4,2,1,6.5,6,0,0.4,,0.8,,
301.41,13849986,328.84898,328.84875,-0.23,-0.7,C2 H3 Br Cl N2 O8 S ,1,2,1,3,2,8,1,1.5,1,1.5,4,,1,,
310.22,13849986,328.84898,328.848814,-0.166,-0.505,C7 H7 Br2 O3 S ,2,7,0,7,0,3,1,3.5,3,1,0.428571429,,0,,
333.13,13849986,328.84898,328.848665,-0.315,-0.957,C8 Cl3 O6 S    ,0,8,3,0,0,6,1,7.5,7,0,0.75,,0,,
123.48,15777274,328.930343,328.930239,-0.104,-0.317,C11 H6 Br O7   ,1,11,0,6,0,7,0,8.5,8,0.545454545,0.636363636,,0,,
310.94,15777274,328.930343,328.930175,-0.168,-0.512,C6 H2 Cl N2 O12 ,0,6,1,2,2,12,0,6.5,6,0.333333333,2,,0.333333333,,
351.69,15777274,328.930343,328.930252,-0.091,-0.278,C7 H11 Br Cl N4 S2 ,1,7,1,11,4,0,2,3.5,3,1.571428571,0,,0.571428571,,
307.93,16283158,328.948897,328.948662,-0.235,-0.715,C15 H7 Br Cl N2 ,1,15,1,7,2,0,0,12.5,12,0.466666667,0,,0.133333333,,
424,16283158,328.948897,328.948598,-0.299,-0.91,C10 H3 Cl2 N4 O5 ,0,10,2,3,4,5,0,10.5,10,0.3,0.5,,0.4,,
425.72,16283158,328.948897,328.948866,-0.032,-0.097,C12 H10 Br O4 S ,1,12,0,10,0,4,1,7.5,7,0.833333333,0.333333333,,0,,
86.99,14313008,328.96669,328.966624,-0.066,-0.201,C12 H10 Br O6  ,1,12,0,10,0,6,0,7.5,7,0.833333333,0.5,,0,,
304.88,14313008,328.96669,328.96656,-0.13,-0.395,C7 H6 Cl N2 O11 ,0,7,1,6,2,11,0,5.5,5,0.857142857,1.571428571,,0.285714286,,
366.05,14313008,328.96669,328.966467,-0.223,-0.678,C10 H9 N4 O S4 ,0,10,0,9,4,1,4,8.5,8,0.9,0.1,,0.4,,
166.4,3800630,328.970667,328.970583,-0.083,-0.254,C12 H6 Cl O9   ,0,12,1,6,0,9,0,9.5,9,0.5,0.75,,0,,
518.22,3800630,328.970667,328.970596,-0.071,-0.214,C8 H11 Cl2 N4 O2 S2 ,0,8,2,11,4,2,2,4.5,4,1.375,0.25,,0.5,,
690.53,3800630,328.970667,328.970863,0.197,0.599,C10 H18 Br O S3 ,1,10,0,18,0,1,3,1.5,1,1.8,0.1,,0,,
414.81,8439372,328.985338,328.985251,-0.087,-0.265,C13 H14 Br O3 S ,1,13,0,14,0,3,1,6.5,6,1.076923077,0.230769231,,0,,
551.96,8439372,328.985338,328.985187,-0.151,-0.459,C8 H10 Cl N2 O8 S ,0,8,1,10,2,8,1,4.5,4,1.25,1,,0.25,,
193.61,9168472,328.993835,328.994122,0.287,0.872,C8 H13 N2 O6 S3 ,0,8,0,13,2,6,3,3.5,3,1.625,0.75,,0.25,,
416.25,9168472,328.993835,328.994088,0.253,0.769,C9 H16 Br Cl2 N4 ,1,9,2,16,4,0,0,2.5,2,1.777777778,0,,0.444444444,,
444.34,9168472,328.993835,328.993918,0.083,0.253,C11 H10 Cl N4 O2 S2 ,0,11,1,10,4,2,2,8.5,8,0.909090909,0.181818182,,0.363636364,,
77.96,11619933,328.99721,328.997276,0.066,0.2,C12 H9 O9 S    ,0,12,0,9,0,9,1,8.5,8,0.75,0.75,,0,,
337.57,11619933,328.99721,328.997289,0.079,0.239,C8 H14 Cl N4 O2 S3 ,0,8,1,14,4,2,3,3.5,3,1.75,0.25,,0.5,,
516.19,11619933,328.99721,328.997073,-0.138,-0.419,C15 H6 Cl N2 O5 ,0,15,1,6,2,5,0,13.5,13,0.4,0.333333333,,0.133333333,,
132.3,10837606,329.002997,329.00301,0.013,0.038,C13 H14 Br O5  ,1,13,0,14,0,5,0,6.5,6,1.076923077,0.384615385,,0,,
369.62,10837606,329.002997,329.002853,-0.144,-0.439,C11 H13 N4 S4  ,0,11,0,13,4,0,4,7.5,7,1.181818182,0,,0.363636364,,
492.47,10837606,329.002997,329.003142,0.145,0.439,C12 H19 Cl2 S3 ,0,12,2,19,0,0,3,2.5,2,1.583333333,0,,0,,
99.89,16418412,329.007031,329.006969,-0.062,-0.188,C13 H10 Cl O8  ,0,13,1,10,0,8,0,8.5,8,0.769230769,0.615384615,,0,,
399.2,16418412,329.007031,329.006982,-0.049,-0.149,C9 H15 Cl2 N4 O S2 ,0,9,2,15,4,1,2,3.5,3,1.666666667,0.111111111,,0.444444444,,
461.27,16418412,329.007031,329.007249,0.218,0.664,C11 H22 Br S3  ,1,11,0,22,0,0,3,0.5,0,2,0,,0,,
27.68,36701816,329.015142,329.015048,-0.094,-0.285,C8 H14 Cl N4 O4 S2 ,0,8,1,14,4,4,2,3.5,3,1.75,0.5,,0.5,,
96.55,36701816,329.015142,329.015035,-0.107,-0.325,C12 H9 O11     ,0,12,0,9,0,11,0,8.5,8,0.75,0.916666667,,0,,
276.55,36701816,329.015142,329.015133,-0.009,-0.026,C12 H17 Cl4 N2 ,0,12,4,17,2,0,0,3.5,3,1.416666667,0,,0.166666667,,
511.5,3571325,329.018335,329.018202,-0.133,-0.404,C12 H10 Cl N2 O7 ,0,12,1,10,2,7,0,8.5,8,0.833333333,0.583333333,,0.166666667,,
604.75,3571325,329.018335,329.018266,-0.069,-0.21,C17 H14 Br O2  ,1,17,0,14,0,2,0,10.5,10,0.823529412,0.117647059,,0,,
624.03,3571325,329.018335,329.018406,0.071,0.214,C9 H13 O11 S   ,0,9,0,13,0,11,1,3.5,3,1.444444444,1.222222222,,0,,
24.51,43992720,329.03028,329.030291,0.011,0.034,C16 H9 O8      ,0,16,0,9,0,8,0,12.5,12,0.5625,0.5,,0,,
77.38,43992720,329.03028,329.030507,0.228,0.692,C9 H17 N2 O5 S3 ,0,9,0,17,2,5,3,2.5,2,1.888888889,0.555555556,,0.222222222,,
187.27,43992720,329.03028,329.030304,0.024,0.073,C12 H14 Cl N4 O S2 ,0,12,1,14,4,1,2,7.5,7,1.166666667,0.083333333,,0.333333333,,
327.21,19932820,329.033631,329.033662,0.031,0.094,C13 H13 O8 S   ,0,13,0,13,0,8,1,7.5,7,1,0.615384615,,0,,
462.24,19932820,329.033631,329.033458,-0.173,-0.525,C16 H10 Cl N2 O4 ,0,16,1,10,2,4,0,12.5,12,0.625,0.25,,0.125,,
513.68,19932820,329.033631,329.033675,0.044,0.133,C9 H18 Cl N4 O S3 ,0,9,1,18,4,1,3,2.5,2,2,0.111111111,,0.444444444,,
577.18,5144222,329.040808,329.040852,0.044,0.133,C18 H14 Cl O2 S ,0,18,1,14,0,2,1,11.5,11,0.777777778,0.111111111,,0,,
643.65,5144222,329.040808,329.040872,0.064,0.195,C7 H13 N4 O9 S ,0,7,0,13,4,9,1,3.5,3,1.857142857,1.285714286,,0.571428571,,
711.79,5144222,329.040808,329.040733,-0.075,-0.229,C15 H14 Br N4  ,1,15,0,14,4,0,0,10.5,10,0.933333333,0,,0.266666667,,
430.78,15959714,329.043258,329.043367,0.109,0.332,C10 H19 Cl2 N4 S2 ,0,10,2,19,4,0,2,2.5,2,1.9,0,,0.4,,
505.33,15959714,329.043258,329.043354,0.096,0.293,C14 H14 Cl O7  ,0,14,1,14,0,7,0,7.5,7,1,0.5,,0,,
556.66,15959714,329.043258,329.043045,-0.213,-0.648,C24 H9 S       ,0,24,0,9,0,0,1,20.5,20,0.375,0,,0,,
531.79,20498082,329.043815,329.044103,0.289,0.878,C12 H18 Br N4 S ,1,12,0,18,4,0,1,5.5,5,1.5,0,,0.333333333,,
202.74,52106924,329.050715,329.050629,-0.086,-0.262,C13 H18 Br N2 O3 ,1,13,0,18,2,3,0,5.5,5,1.384615385,0.230769231,,0.153846154,,
228.58,52106924,329.050715,329.050544,-0.171,-0.519,C19 H15 Cl2 O  ,0,19,2,15,0,1,0,11.5,11,0.789473684,0.052631579,,0,,
342.56,52106924,329.050715,329.050565,-0.15,-0.456,C8 H14 Cl N4 O8 ,0,8,1,14,4,8,0,3.5,3,1.75,1,,0.5,,
9.69,356353696,329.051477,329.05142,-0.057,-0.172,C13 H13 O10    ,0,13,0,13,0,10,0,7.5,7,1,0.769230769,,0,,
154.73,356353696,329.051477,329.051433,-0.044,-0.133,C9 H18 Cl N4 O3 S2 ,0,9,1,18,4,3,2,2.5,2,2,0.333333333,,0.444444444,,
32.59,43665092,329.066734,329.066676,-0.058,-0.176,C17 H13 O7     ,0,17,0,13,0,7,0,11.5,11,0.764705882,0.411764706,,0,,
99.91,43665092,329.066734,329.066893,0.158,0.482,C10 H21 N2 O4 S3 ,0,10,0,21,2,4,3,1.5,1,2.1,0.4,,0.2,,
182.21,43665092,329.066734,329.066689,-0.045,-0.137,C13 H18 Cl N4 S2 ,0,13,1,18,4,0,2,6.5,6,1.384615385,0,,0.307692308,,
488.95,22185674,329.070055,329.07006,0.005,0.014,C10 H22 Cl N4 S3 ,0,10,1,22,4,0,3,1.5,1,2.2,0,,0.4,,
507.46,22185674,329.070055,329.069844,-0.212,-0.643,C17 H14 Cl N2 O3 ,0,17,1,14,2,3,0,11.5,11,0.823529412,0.176470588,,0.117647059,,
665.72,22185674,329.070055,329.070047,-0.008,-0.025,C14 H17 O7 S   ,0,14,0,17,0,7,1,6.5,6,1.214285714,0.5,,0,,
534.83,16099031,329.079574,329.07974,0.166,0.504,C15 H18 Cl O6  ,0,15,1,18,0,6,0,6.5,6,1.2,0.4,,0,,
336.3,22554334,329.08374,329.083979,0.239,0.727,C13 H26 Cl O S3 ,0,13,1,26,0,1,3,0.5,0,2,0.076923077,,0,,
563.23,22554334,329.08374,329.083783,0.043,0.132,C9 H17 N2 O11  ,0,9,0,17,2,11,0,2.5,2,1.888888889,1.222222222,,0.222222222,,
338.49,62686948,329.087121,329.08695,-0.171,-0.52,C9 H18 Cl N4 O7 ,0,9,1,18,4,7,0,2.5,2,2,0.777777778,,0.444444444,,
352.11,62686948,329.087121,329.08693,-0.192,-0.583,C20 H19 Cl2    ,0,20,2,19,0,0,0,10.5,10,0.95,0,,0,,
421.65,62686948,329.087121,329.087014,-0.107,-0.326,C14 H22 Br N2 O2 ,1,14,0,22,2,2,0,4.5,4,1.571428571,0.142857143,,0.142857143,,
23.29,469534432,329.087794,329.087806,0.012,0.037,C14 H17 O9     ,0,14,0,17,0,9,0,6.5,6,1.214285714,0.642857143,,0,,
170.37,469534432,329.087794,329.087819,0.025,0.076,C10 H22 Cl N4 O2 S2 ,0,10,1,22,4,2,2,1.5,1,2.2,0.2,,0.4,,
547.7,6421226,329.091776,329.091841,0.065,0.198,C15 H22 Cl N2 S2 ,0,15,1,22,2,0,2,5.5,5,1.466666667,0,,0.133333333,,
616.99,6421226,329.091776,329.092045,0.269,0.817,C12 H25 O4 S3  ,0,12,0,25,0,4,3,0.5,0,2.083333333,0.333333333,,0,,
21.12,26613498,329.103165,329.103062,-0.103,-0.314,C18 H17 O6     ,0,18,0,17,0,6,0,10.5,10,0.944444444,0.333333333,,0,,
108.86,26613498,329.103165,329.103278,0.113,0.343,C11 H25 N2 O3 S3 ,0,11,0,25,2,3,3,0.5,0,2.272727273,0.272727273,,0.181818182,,
499.96,12551935,329.106497,329.106229,-0.268,-0.813,C18 H18 Cl N2 O2 ,0,18,1,18,2,2,0,10.5,10,1,0.111111111,,0.111111111,,
638.49,12551935,329.106497,329.106433,-0.064,-0.194,C15 H21 O6 S   ,0,15,0,21,0,6,1,5.5,5,1.4,0.4,,0,,
460.81,5678860,329.115166,329.115164,-0.002,-0.007,C18 H21 N2 S2  ,0,18,0,21,2,0,2,9.5,9,1.166666667,0,,0.111111111,,
528.68,5678860,329.115166,329.11527,0.104,0.315,C11 H23 Cl2 N4 O3 ,0,11,2,23,4,3,0,1.5,1,2.090909091,0.272727273,,0.363636364,,
417.33,17065752,329.123478,329.1234,-0.079,-0.239,C15 H26 Br N2 O ,1,15,0,26,2,1,0,3.5,3,1.733333333,0.066666667,,0.133333333,,
468.49,17065752,329.123478,329.123336,-0.143,-0.433,C10 H22 Cl N4 O6 ,0,10,1,22,4,6,0,1.5,1,2.2,0.6,,0.4,,
16.62,114345752,329.124116,329.124191,0.076,0.229,C15 H21 O8     ,0,15,0,21,0,8,0,5.5,5,1.4,0.533333333,,0,,
139.19,114345752,329.124116,329.124204,0.088,0.269,C11 H26 Cl N4 O S2 ,0,11,1,26,4,1,2,0.5,0,2.363636364,0.090909091,,0.363636364,,
119.93,14851888,329.139561,329.139447,-0.114,-0.346,C19 H21 O5     ,0,19,0,21,0,5,0,9.5,9,1.105263158,0.263157895,,0,,
720.96,3357146,329.944354,329.944051,-0.303,-0.919,C6 H5 Cl N3 O9 S ,0,6,1,5,3,9,1,5.5,5,0.833333333,1.5,,0.5,,
745,3357146,329.944354,329.944254,-0.1,-0.302,C3 H8 N O13 S2 ,0,3,0,8,1,13,2,0.5,0,2.666666667,4.333333333,,0.333333333,,
813.58,3357146,329.944354,329.944115,-0.239,-0.725,C11 H9 Br N O4 S ,1,11,0,9,1,4,1,7.5,7,0.818181818,0.363636364,,0.090909091,,
619.85,4526068,329.961737,329.961809,0.072,0.219,C6 H5 Cl N3 O11 ,0,6,1,5,3,11,0,5.5,5,0.833333333,1.833333333,,0.5,,
661.94,4526068,329.961737,329.962005,0.268,0.813,C10 H14 Cl2 N O S3 ,0,10,2,14,1,1,3,3.5,3,1.4,0.1,,0.1,,
672.4,4526068,329.961737,329.9615,-0.237,-0.719,C16 N3 O4 S    ,0,16,0,0,3,4,1,18.5,18,0,0.25,,0.1875,,
562.85,7918675,330.025692,330.02554,-0.152,-0.461,C15 H8 N O8    ,0,15,0,8,1,8,0,12.5,12,0.533333333,0.533333333,,0.066666667,,
607.81,7918675,330.025692,330.025756,0.064,0.195,C8 H16 N3 O5 S3 ,0,8,0,16,3,5,3,2.5,2,2,0.625,,0.375,,
634.08,7918675,330.025692,330.025842,0.15,0.453,C12 H19 Cl3 N O S ,0,12,3,19,1,1,1,2.5,2,1.583333333,0.083333333,,0.083333333,,
138.71,6482010,330.03065,330.0309,0.25,0.758,C21 H4 N3 O2   ,0,21,0,4,3,2,0,21.5,21,0.19047619,0.095238095,,0.142857143,,
362.34,6482010,330.03065,330.030621,-0.028,-0.086,C8 H17 Br N3 O6 ,1,8,0,17,3,6,0,1.5,1,2.125,0.75,,0.375,,
519.06,6482010,330.03065,330.030537,-0.113,-0.342,C14 H14 Cl2 N O4 ,0,14,2,14,1,4,0,7.5,7,1,0.285714286,,0.071428571,,
226.6,9579656,330.062017,330.061925,-0.091,-0.277,C16 H12 N O7   ,0,16,0,12,1,7,0,11.5,11,0.75,0.4375,,0.0625,,
611.12,9579656,330.062017,330.062142,0.125,0.379,C9 H20 N3 O4 S3 ,0,9,0,20,3,4,3,1.5,1,2.222222222,0.444444444,,0.333333333,,
619.56,9579656,330.062017,330.062227,0.21,0.638,C13 H23 Cl3 N S ,0,13,3,23,1,0,1,1.5,1,1.769230769,0,,0.076923077,,
534.93,3240080,330.066934,330.067007,0.073,0.221,C9 H21 Br N3 O5 ,1,9,0,21,3,5,0,0.5,0,2.333333333,0.555555556,,0.333333333,,
576.79,3240080,330.066934,330.066922,-0.011,-0.035,C15 H18 Cl2 N O3 ,0,15,2,18,1,3,0,6.5,6,1.2,0.2,,0.066666667,,
567.72,16833704,330.08306,330.083055,-0.005,-0.016,C13 H16 N O9   ,0,13,0,16,1,9,0,6.5,6,1.230769231,0.692307692,,0.076923077,,
731.27,4063966,330.119443,330.11944,-0.002,-0.008,C14 H20 N O8   ,0,14,0,20,1,8,0,5.5,5,1.428571429,0.571428571,,0.071428571,,
614,3355892,330.134627,330.134696,0.069,0.209,C18 H20 N O5   ,0,18,0,20,1,5,0,9.5,9,1.111111111,0.277777778,,0.055555556,,
300.41,7213361,330.864543,330.864315,-0.228,-0.69,C8 H2 Cl3 O6 S ,0,8,3,2,0,6,1,6.5,6,0.25,0.75,,0,,
311.14,7213361,330.864543,330.8644,-0.144,-0.434,C2 H5 Br Cl N2 O8 S ,1,2,1,5,2,8,1,0.5,0,2.5,4,,1,,
386.84,7213361,330.864543,330.864464,-0.08,-0.241,C7 H9 Br2 O3 S ,2,7,0,9,0,3,1,2.5,2,1.285714286,0.428571429,,0,,
107.7,6870388,330.909507,330.909503,-0.004,-0.011,C10 H4 Br O8   ,1,10,0,4,0,8,0,8.5,8,0.4,0.8,,0,,
207.03,6870388,330.909507,330.909516,0.009,0.028,C6 H9 Br Cl N4 O S2 ,1,6,1,9,4,1,2,3.5,3,1.5,0.166666667,,0.666666667,,
215.72,6870388,330.909507,330.909635,0.128,0.388,C9 H9 Cl2 O3 S3 ,0,9,2,9,0,3,3,4.5,4,1,0.333333333,,0,,
235.82,20193680,330.928275,330.928262,-0.012,-0.038,C10 H13 Cl2 S4 ,0,10,2,13,0,0,4,3.5,3,1.3,0,,0,,
338.03,20193680,330.928275,330.92813,-0.144,-0.436,C11 H8 Br O5 S ,1,11,0,8,0,5,1,7.5,7,0.727272727,0.454545455,,0,,
364.85,20193680,330.928275,330.92827,-0.005,-0.014,C3 H7 O14 S2   ,0,3,0,7,0,14,2,0.5,0,2.333333333,4.666666667,,0,,
59.86,26427818,330.945851,330.945889,0.038,0.115,C11 H8 Br O7   ,1,11,0,8,0,7,0,7.5,7,0.727272727,0.636363636,,0,,
283.21,26427818,330.945851,330.945902,0.051,0.154,C7 H13 Br Cl N4 S2 ,1,7,1,13,4,0,2,2.5,2,1.857142857,0,,0.571428571,,
299.42,26427818,330.945851,330.945825,-0.026,-0.078,C6 H4 Cl N2 O12 ,0,6,1,4,2,12,0,5.5,5,0.666666667,2,,0.333333333,,
363.27,15776198,330.96468,330.964452,-0.228,-0.689,C7 H8 Cl N2 O9 S ,0,7,1,8,2,9,1,4.5,4,1.142857143,1.285714286,,0.285714286,,
439.79,15776198,330.96468,330.964516,-0.164,-0.496,C12 H12 Br O4 S ,1,12,0,12,0,4,1,6.5,6,1,0.333333333,,0,,
77.82,21500384,330.98224,330.982274,0.034,0.104,C12 H12 Br O6  ,1,12,0,12,0,6,0,6.5,6,1,0.5,,0,,
245.23,21500384,330.98224,330.98221,-0.03,-0.089,C7 H8 Cl N2 O11 ,0,7,1,8,2,11,0,4.5,4,1.142857143,1.571428571,,0.285714286,,
290.7,21500384,330.98224,330.982406,0.166,0.503,C11 H17 Cl2 O S3 ,0,11,2,17,0,1,3,2.5,2,1.545454545,0.090909091,,0,,
65.74,12397030,330.986207,330.986233,0.026,0.08,C12 H8 Cl O9   ,0,12,1,8,0,9,0,8.5,8,0.666666667,0.75,,0,,
163.46,12397030,330.986207,330.985924,-0.283,-0.856,C22 H3 O2 S    ,0,22,0,3,0,2,1,21.5,21,0.136363636,0.090909091,,0,,
463.63,12397030,330.986207,330.986246,0.039,0.119,C8 H13 Cl2 N4 O2 S2 ,0,8,2,13,4,2,2,3.5,3,1.625,0.25,,0.5,,
93.77,35811848,331.009662,331.009555,-0.106,-0.321,C15 H7 O9      ,0,15,0,7,0,9,0,12.5,12,0.466666667,0.6,,0,,
111.46,35811848,331.009662,331.009772,0.11,0.332,C8 H15 N2 O6 S3 ,0,8,0,15,2,6,3,2.5,2,1.875,0.75,,0.25,,
414.21,35811848,331.009662,331.009738,0.076,0.231,C9 H18 Br Cl2 N4 ,1,9,2,18,4,0,0,1.5,1,2,0,,0.444444444,,
142.22,16001550,331.013013,331.012926,-0.086,-0.261,C12 H11 O9 S   ,0,12,0,11,0,9,1,7.5,7,0.916666667,0.75,,0,,
487.09,16001550,331.013013,331.012723,-0.29,-0.876,C15 H8 Cl N2 O5 ,0,15,1,8,2,5,0,12.5,12,0.533333333,0.333333333,,0.133333333,,
508.59,16001550,331.013013,331.012939,-0.074,-0.222,C8 H16 Cl N4 O2 S3 ,0,8,1,16,4,2,3,2.5,2,2,0.25,,0.5,,
473.25,7257623,331.018654,331.018792,0.138,0.417,C12 H21 Cl2 S3 ,0,12,2,21,0,0,3,1.5,1,1.75,0,,0,,
489.31,7257623,331.018654,331.01866,0.006,0.018,C13 H16 Br O5  ,1,13,0,16,0,5,0,5.5,5,1.230769231,0.384615385,,0,,
491.21,7257623,331.018654,331.018503,-0.151,-0.456,C11 H15 N4 S4  ,0,11,0,15,4,0,4,6.5,6,1.363636364,0,,0.363636364,,
541.03,4510489,331.020075,331.020333,0.258,0.778,C10 H20 Cl N2 S4 ,0,10,1,20,2,0,4,1.5,1,2,0,,0.2,,
555.8,4510489,331.020075,331.019997,-0.078,-0.235,C14 H12 Br N4 O ,1,14,0,12,4,1,0,10.5,10,0.857142857,0.071428571,,0.285714286,,
575.6,4510489,331.020075,331.020116,0.041,0.124,C17 H12 Cl O3 S ,0,17,1,12,0,3,1,11.5,11,0.705882353,0.176470588,,0,,
